ID,mag_name,assembly_type,link_to_assembly,GTDB_version,domain,phylum,class,order,family,genus,species,closest_placement_ani,completeness,contamination,size,GC,N50,contigs,number_genes,cazy_hits,pfam_hits,kegg_hits,number_unannotated_genes,percent_unannotated_genes,host_species,AB_batch,taxonomy_level,sample_type
EHM031131,EHA01928_bin.9.fa,Individual,EHA01928,2.3.0,d__Bacteria,p__Campylobacterota,c__Campylobacteria,o__Campylobacterales,f__Helicobacteraceae,g__Helicobacter_A,s__,0.00,99.98,0.08,2311252,34.00%,12195.00,272,,,,,,NaN,Canis familiaris,ABB0247,Genus,Faecal
EHM029906,EHA01874_bin.16.fa,Individual,EHA01874,2.3.0,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__,s__,0.00,56.66,9.80,1665989,29.00%,11870.00,178,1653,47,1308,821,321,19,Canis familiaris,ABB0246,Family,Faecal
EHM030404,EHA01893_bin.29.fa,Individual,EHA01893,2.3.0,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__,s__,0.00,79.30,6.41,888613,30.00%,9120.00,122,884,15,777,564,99,11,Canis familiaris,ABB0246,Family,Faecal
EHM030716,EHA01889_bin.21.fa,Individual,EHA01889,2.3.0,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__,s__,0.00,50.73,8.91,1525742,29.00%,6839.00,290,1423,35,1145,734,254,18,Canis familiaris,ABB0246,Family,Faecal
EHM030879,EHA01877_bin.26.fa,Individual,EHA01877,2.3.0,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__,s__,0.00,50.67,8.36,1201646,29.00%,5794.00,263,1147,19,926,591,204,18,Canis familiaris,ABB0246,Family,Faecal
EHM031191,EHA01887_bin.23.fa,Individual,EHA01887,2.3.0,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__,s__,0.00,96.65,0.32,2141415,29.00%,67343.00,54,1964,57,1586,1057,361,18,Canis familiaris,ABB0246,Family,Faecal
EHM031221,EHA01887_bin.39.fa,Individual,EHA01887,2.3.0,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__,s__,0.00,57.88,1.12,629655,30.00%,10630.00,75,638,10,536,396,94,15,Canis familiaris,ABB0246,Family,Faecal
EHM030125,EHA01879_bin.9.fa,Individual,EHA01879,2.3.0,d__Bacteria,p__Bacillota,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Allobaculum,s__Allobaculum stercoricanis,98.86,83.73,0.15,1945166,37.00%,28342.00,127,1806,47,1361,889,422,23,Canis familiaris,ABB0246,Species,Faecal
EHM030416,EHA01893_bin.9.fa,Individual,EHA01893,2.3.0,d__Bacteria,p__Bacillota,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Allobaculum,s__Allobaculum stercoricanis,98.47,50.56,4.92,1353266,40.00%,2517.00,541,785,17,506,279,269,34,Canis familiaris,ABB0246,Species,Faecal
EHM031223,EHA01887_bin.4.fa,Individual,EHA01887,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Alloprevotella,s__,77.79,88.54,0.94,2489976,48.00%,49802.00,85,1999,83,1543,917,427,21,Canis familiaris,ABB0246,Genus,Faecal
EHM030034,EHA01881_bin.13.fa,Individual,EHA01881,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Alloprevotella,s__Alloprevotella sp900541335,98.55,98.31,0.02,2577365,49.00%,98480.00,46,1965,86,1500,912,440,22,Canis familiaris,ABB0246,Species,Faecal
EHM030211,EHA01898_bin.4.fa,Individual,EHA01898,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Alloprevotella,s__Alloprevotella sp000437675,98.82,92.89,0.64,2775847,47.00%,35985.00,125,2171,98,1612,940,545,25,Canis familiaris,ABB0246,Species,Faecal
EHM029838,EHA01876_bin.2.fa,Individual,EHA01876,2.3.0,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales_A,f__Succinivibrionaceae,g__Anaerobiospirillum,s__,89.31,92.55,0.15,3851664,43.00%,54059.00,129,2317,39,1649,1216,623,27,Canis familiaris,ABB0246,Genus,Faecal
EHM029914,EHA01874_bin.6.fa,Individual,EHA01874,2.3.0,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales_A,f__Succinivibrionaceae,g__Anaerobiospirillum,s__,94.40,84.34,0.25,4426259,52.00%,14659.00,438,2967,52,1703,1219,1210,41,Canis familiaris,ABB0246,Genus,Faecal
EHM030190,EHA01883_bin.7.fa,Individual,EHA01883,2.3.0,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales_A,f__Succinivibrionaceae,g__Anaerobiospirillum,s__,94.72,62.61,2.74,2757982,52.00%,3286.00,921,1442,26,842,584,571,40,Canis familiaris,ABB0246,Genus,Faecal
EHM030482,EHA01880_bin.11.fa,Individual,EHA01880,2.3.0,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales_A,f__Succinivibrionaceae,g__Anaerobiospirillum,s__,94.35,58.06,0.06,2400200,52.00%,2972.00,841,1175,22,650,444,507,43,Canis familiaris,ABB0246,Genus,Faecal
EHM030637,EHA01899_bin.27.fa,Individual,EHA01899,2.3.0,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales_A,f__Succinivibrionaceae,g__Anaerobiospirillum,s__,89.55,68.38,0.65,2174521,43.00%,3314.00,701,1133,20,744,507,364,32,Canis familiaris,ABB0246,Genus,Faecal
EHM030869,EHA01877_bin.16.fa,Individual,EHA01877,2.3.0,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales_A,f__Succinivibrionaceae,g__Anaerobiospirillum,s__,87.51,56.69,8.54,1631620,41.00%,10167.00,178,1303,32,1036,766,236,18,Canis familiaris,ABB0246,Genus,Faecal
EHM030874,EHA01877_bin.20.fa,Individual,EHA01877,2.3.0,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales_A,f__Succinivibrionaceae,g__Anaerobiospirillum,s__,81.26,64.95,0.11,1423584,44.00%,40894.00,45,1053,32,833,664,196,19,Canis familiaris,ABB0246,Genus,Faecal
EHM029918,EHA01886_bin.1.fa,Individual,EHA01886,2.3.0,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales_A,f__Succinivibrionaceae,g__Anaerobiospirillum,s__Anaerobiospirillum succiniciproducens,96.84,93.41,0.30,3711761,44.00%,45158.00,143,2310,48,1636,1197,622,27,Canis familiaris,ABB0246,Species,Faecal
EHM030170,EHA01884_bin.7.fa,Individual,EHA01884,2.3.0,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales_A,f__Succinivibrionaceae,g__Anaerobiospirillum,s__Anaerobiospirillum sp900543125,97.73,96.09,0.49,3753499,40.00%,40001.00,141,2405,62,1729,1275,627,26,Canis familiaris,ABB0246,Species,Faecal
EHM030513,EHA01892_bin.17.fa,Individual,EHA01892,2.3.0,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales_A,f__Succinivibrionaceae,g__Anaerobiospirillum,s__Anaerobiospirillum succiniciproducens,97.11,51.09,2.36,2432822,42.00%,2911.00,839,1249,16,732,461,499,40,Canis familiaris,ABB0246,Species,Faecal
EHM030763,EHA01894_bin.1.fa,Individual,EHA01894,2.3.0,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales_A,f__Succinivibrionaceae,g__Anaerobiospirillum,s__Anaerobiospirillum succiniciproducens,96.92,59.51,3.35,2020456,44.00%,3147.00,697,1048,14,695,463,335,32,Canis familiaris,ABB0246,Species,Faecal
EHM031260,EHA01871_bin.23.fa,Individual,EHA01871,2.3.0,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales_A,f__Succinivibrionaceae,g__Anaerobiospirillum,s__Anaerobiospirillum sp900543125,95.73,58.07,5.19,2541134,40.00%,3917.00,751,1411,36,940,641,442,31,Canis familiaris,ABB0246,Species,Faecal
EHM031278,EHA01890_bin.19.fa,Individual,EHA01890,2.3.0,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales_A,f__Succinivibrionaceae,g__Anaerobiospirillum,s__Anaerobiospirillum sp023051105,97.80,85.98,0.45,4649279,52.00%,22691.00,382,3056,59,1764,1269,1241,41,Canis familiaris,ABB0246,Species,Faecal
EHM031445,EHA01891_bin.33.fa,Individual,EHA01891,2.3.0,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales_A,f__Succinivibrionaceae,g__Anaerobiospirillum,s__Anaerobiospirillum succiniciproducens,95.60,60.93,7.02,2091852,44.00%,3013.00,725,986,25,682,489,277,28,Canis familiaris,ABB0246,Species,Faecal
EHM030238,EHA01897_bin.11.fa,Individual,EHA01897,2.3.0,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales_A,f__Succinivibrionaceae,g__Anaerobiospirillum_A,s__,77.49,96.17,0.32,2553169,28.00%,86526.00,53,2101,47,1686,1274,365,17,Canis familiaris,ABB0246,Genus,Faecal
EHM031426,EHA01891_bin.14.fa,Individual,EHA01891,2.3.0,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales_A,f__Succinivibrionaceae,g__Anaerobiospirillum_A,s__Anaerobiospirillum_A thomasii,96.40,96.33,0.16,2338656,41.00%,29255.00,134,2071,35,1659,1201,374,18,Canis familiaris,ABB0246,Species,Faecal
EHM030079,EHA01878_bin.19.fa,Individual,EHA01878,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Avimicrobium,s__Avimicrobium sp934845495,97.75,81.37,5.58,1350615,57.00%,3685.00,422,1098,14,849,540,226,21,Canis familiaris,ABB0246,Species,Faecal
EHM030511,EHA01892_bin.15.fa,Individual,EHA01892,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Avimicrobium,s__Avimicrobium sp934845495,97.41,71.51,1.19,1629441,56.00%,3744.00,483,1392,7,1000,569,372,27,Canis familiaris,ABB0246,Species,Faecal
EHM030771,EHA01894_bin.17.fa,Individual,EHA01894,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Avimicrobium,s__Avimicrobium sp934845495,97.32,59.54,2.45,1348104,55.00%,2801.00,485,946,9,669,379,262,28,Canis familiaris,ABB0246,Species,Faecal
EHM031273,EHA01890_bin.14.fa,Individual,EHA01890,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Avimicrobium,s__Avimicrobium sp934845495,98.87,99.80,0.21,1871086,57.00%,115870.00,41,1871,19,1443,943,400,21,Canis familiaris,ABB0246,Species,Faecal
EHM030306,EHA01895_bin.27.fa,Individual,EHA01895,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__,90.90,53.70,6.75,1926427,44.00%,59532.00,51,1683,79,1358,808,311,18,Canis familiaris,ABB0246,Genus,Faecal
EHM029843,EHA01876_bin.7.fa,Individual,EHA01876,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides sp900766005,98.90,99.94,0.04,3091519,46.00%,38907.00,143,2651,124,2027,1185,596,22,Canis familiaris,ABB0246,Species,Faecal
EHM030493,EHA01880_bin.21.fa,Individual,EHA01880,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides sp900766005,95.67,62.53,3.34,1963358,47.00%,47195.00,67,1579,105,1340,805,225,14,Canis familiaris,ABB0246,Species,Faecal
EHM029933,EHA01886_bin.7.fa,Individual,EHA01886,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Blautia,s__Blautia sp900556555,98.26,51.27,1.67,1454388,41.00%,3277.00,480,1108,49,887,468,210,19,Canis familiaris,ABB0246,Species,Faecal
EHM030161,EHA01884_bin.14.fa,Individual,EHA01884,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Blautia,s__Blautia hansenii,98.59,63.41,7.15,2038601,39.00%,2707.00,760,1365,35,990,588,348,25,Canis familiaris,ABB0246,Species,Faecal
EHM030413,EHA01893_bin.6.fa,Individual,EHA01893,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Blautia,s__Blautia sp900556555,98.29,65.13,6.27,1881938,41.00%,3599.00,570,1476,54,1231,748,219,15,Canis familiaris,ABB0246,Species,Faecal
EHM030925,EHA01885_bin.16.fa,Individual,EHA01885,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Blautia,s__Blautia sp900556555,97.18,60.78,8.66,2167328,41.00%,2684.00,798,1345,51,1011,527,315,23,Canis familiaris,ABB0246,Species,Faecal
EHM031300,EHA01890_bin.39.fa,Individual,EHA01890,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Blautia_A,s__,93.61,96.95,1.75,2643167,43.00%,30939.00,143,2502,73,2127,1389,340,14,Canis familiaris,ABB0246,Genus,Faecal
EHM031320,EHA01890_bin.57.fa,Individual,EHA01890,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Blautia_A,s__Blautia_A sp900541345,97.69,72.45,4.01,1506177,42.00%,3888.00,435,1314,43,1077,650,213,16,Canis familiaris,ABB0246,Species,Faecal
EHM031288,EHA01890_bin.28.fa,Individual,EHA01890,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__CAJMNU01,s__CAJMNU01 sp905214855,99.47,92.93,0.21,2676486,40.00%,54857.00,71,2396,108,2012,1320,358,15,Canis familiaris,ABB0246,Species,Faecal
EHM030759,EHA01872_bin.6.fa,Individual,EHA01872,2.3.0,d__Bacteria,p__Bacillota,c__Bacilli,o__Acholeplasmatales,f__Anaeroplasmataceae,g__CALUXS01,s__,0.00,98.39,0.13,1570519,27.00%,40565.00,59,1470,32,1030,653,417,28,Canis familiaris,ABB0246,Genus,Faecal
EHM030103,EHA01879_bin.16.fa,Individual,EHA01879,2.3.0,d__Bacteria,p__Bacillota,c__Bacilli,o__Erysipelotrichales,f__Coprobacillaceae,g__Catenibacterium,s__Catenibacterium sp000437715,98.91,100.00,0.80,2166364,34.00%,25897.00,133,2216,68,1751,1124,439,20,Canis familiaris,ABB0246,Species,Faecal
EHM029925,EHA01886_bin.16.fa,Individual,EHA01886,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium,s__Clostridium sp018372875,97.97,59.46,6.44,2766064,29.00%,13481.00,299,2747,105,1811,1053,887,32,Canis familiaris,ABB0246,Species,Faecal
EHM029920,EHA01886_bin.11.fa,Individual,EHA01886,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Clostridium_Q,s__Clostridium_Q sp000435655,98.91,98.03,0.17,2718413,49.00%,41276.00,118,2560,46,2113,1384,410,16,Canis familiaris,ABB0246,Species,Faecal
EHM029848,EHA01882_bin.11.fa,Individual,EHA01882,2.3.0,d__Bacteria,p__Actinomycetota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella intestinalis,97.63,71.99,1.18,1212886,62.00%,3265.00,384,883,20,673,437,196,22,Canis familiaris,ABB0246,Species,Faecal
EHM029872,EHA01875_bin.10.fa,Individual,EHA01875,2.3.0,d__Bacteria,p__Actinomycetota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella intestinalis,97.82,95.09,3.18,1501871,63.00%,8456.00,260,1306,20,1063,684,225,17,Canis familiaris,ABB0246,Species,Faecal
EHM030087,EHA01878_bin.28.fa,Individual,EHA01878,2.3.0,d__Bacteria,p__Actinomycetota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella intestinalis,97.64,51.63,4.23,1087790,61.00%,2311.00,464,487,7,364,227,116,24,Canis familiaris,ABB0246,Species,Faecal
EHM030124,EHA01879_bin.8.fa,Individual,EHA01879,2.3.0,d__Bacteria,p__Actinomycetota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella intestinalis,97.63,94.06,3.04,1641937,62.00%,6601.00,339,1370,25,1084,717,263,19,Canis familiaris,ABB0246,Species,Faecal
EHM030218,EHA01888_bin.10.fa,Individual,EHA01888,2.3.0,d__Bacteria,p__Actinomycetota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella intestinalis,97.69,81.20,0.63,1440278,63.00%,5967.00,316,1214,21,972,631,222,18,Canis familiaris,ABB0246,Species,Faecal
EHM030247,EHA01897_bin.2.fa,Individual,EHA01897,2.3.0,d__Bacteria,p__Actinomycetota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella intestinalis,97.62,64.22,1.56,1184703,62.00%,3290.00,384,827,16,655,401,159,19,Canis familiaris,ABB0246,Species,Faecal
EHM030706,EHA01889_bin.12.fa,Individual,EHA01889,2.3.0,d__Bacteria,p__Actinomycetota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella intestinalis,97.84,88.80,3.98,1458197,63.00%,4909.00,360,1167,19,956,634,189,16,Canis familiaris,ABB0246,Species,Faecal
EHM030789,EHA01894_bin.8.fa,Individual,EHA01894,2.3.0,d__Bacteria,p__Actinomycetota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella intestinalis,97.87,88.01,1.31,1341937,63.00%,6310.00,275,1154,17,964,637,172,15,Canis familiaris,ABB0246,Species,Faecal
EHM031163,EHA01887_bin.10.fa,Individual,EHA01887,2.3.0,d__Bacteria,p__Actinomycetota,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,s__Collinsella intestinalis,98.06,53.31,2.05,978409,62.00%,2672.00,369,585,8,459,290,114,19,Canis familiaris,ABB0246,Species,Faecal
EHM030730,EHA01872_bin.15.fa,Individual,EHA01872,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__Cryptobacteroides,s__,0.00,96.79,0.14,2210791,43.00%,20173.00,147,1848,74,1456,852,370,20,Canis familiaris,ABB0246,Genus,Faecal
EHM030175,EHA01883_bin.11.fa,Individual,EHA01883,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Eisenbergiella,s__Eisenbergiella sp900539715,98.94,64.60,1.15,1513559,49.00%,2947.00,541,1029,50,807,475,212,21,Canis familiaris,ABB0246,Species,Faecal
EHM030317,EHA01895_bin.9.fa,Individual,EHA01895,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Eisenbergiella,s__Eisenbergiella sp900539715,99.05,62.19,3.36,1394566,50.00%,2910.00,496,906,48,727,446,165,18,Canis familiaris,ABB0246,Species,Faecal
EHM030356,EHA01896_bin.2.fa,Individual,EHA01896,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Eisenbergiella,s__Eisenbergiella sp900539715,98.82,52.68,0.53,1426579,49.00%,2979.00,504,970,49,759,423,199,21,Canis familiaris,ABB0246,Species,Faecal
EHM030486,EHA01880_bin.15.fa,Individual,EHA01880,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Eisenbergiella,s__Eisenbergiella sp900539715,98.78,56.39,8.36,1527877,48.00%,2198.00,670,685,44,529,288,146,21,Canis familiaris,ABB0246,Species,Faecal
EHM030767,EHA01894_bin.13.fa,Individual,EHA01894,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Eisenbergiella,s__Eisenbergiella sp900539715,99.01,51.83,1.83,1239705,50.00%,2852.00,446,800,44,616,334,168,21,Canis familiaris,ABB0246,Species,Faecal
EHM031177,EHA01887_bin.17.fa,Individual,EHA01887,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Eisenbergiella,s__Eisenbergiella sp900539715,99.03,99.60,0.09,2344953,49.00%,37295.00,96,2170,115,1830,1238,313,14,Canis familiaris,ABB0246,Species,Faecal
EHM031267,EHA01871_bin.9.fa,Individual,EHA01871,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Eisenbergiella,s__Eisenbergiella sp900539715,98.83,52.51,0.41,1253681,49.00%,4266.00,334,1141,64,894,501,231,20,Canis familiaris,ABB0246,Species,Faecal
EHM031451,EHA01891_bin.9.fa,Individual,EHA01891,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Eisenbergiella,s__Eisenbergiella sp900539715,98.85,52.75,1.69,1560695,49.00%,2555.00,610,914,51,698,371,207,23,Canis familiaris,ABB0246,Species,Faecal
EHM029929,EHA01886_bin.3.fa,Individual,EHA01886,2.3.0,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia,s__Escherichia coli,97.43,100.00,0.20,5089079,51.00%,263210.00,60,4797,93,4237,3380,450,9,Canis familiaris,ABB0246,Species,Faecal
EHM030534,EHA01892_bin.7.fa,Individual,EHA01892,2.3.0,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia,s__Escherichia coli,0.00,69.41,2.13,2988616,52.00%,3526.00,923,2395,48,2130,1632,198,8,Canis familiaris,ABB0246,Species,Faecal
EHM031321,EHA01890_bin.58.fa,Individual,EHA01890,2.3.0,d__Bacteria,p__Bacillota,c__Bacilli,o__Erysipelotrichales,f__Coprobacillaceae,g__Faecalibacillus,s__,0.00,56.90,7.61,1626111,30.00%,3328.00,526,1352,34,920,479,418,31,Canis familiaris,ABB0246,Genus,Faecal
EHM030782,EHA01894_bin.3.fa,Individual,EHA01894,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,s__,86.50,99.32,0.13,2132076,51.00%,164861.00,36,1959,58,1548,944,382,19,Canis familiaris,ABB0246,Genus,Faecal
EHM030517,EHA01892_bin.20.fa,Individual,EHA01892,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,s__Faecalibacterium sp900540455,98.58,99.93,0.05,2342514,58.00%,45188.00,94,2196,65,1750,1141,418,19,Canis familiaris,ABB0246,Species,Faecal
EHM031227,EHA01887_bin.43.fa,Individual,EHA01887,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Faecalimonas,s__,82.40,54.54,6.76,1771736,38.00%,3899.00,509,1527,69,1145,609,363,24,Canis familiaris,ABB0246,Genus,Faecal
EHM031437,EHA01891_bin.24.fa,Individual,EHA01891,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Faecalimonas,s__,81.93,61.98,6.86,2010047,39.00%,2578.00,780,1216,46,849,426,354,29,Canis familiaris,ABB0246,Genus,Faecal
EHM029931,EHA01886_bin.5.fa,Individual,EHA01886,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Faecalimonas,s__Faecalimonas umbilicata,98.37,92.80,0.00,2506144,42.00%,112664.00,38,2373,72,1950,1311,383,16,Canis familiaris,ABB0246,Species,Faecal
EHM030358,EHA01896_bin.21.fa,Individual,EHA01896,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Faecalimonas,s__Faecalimonas umbilicata,98.66,54.29,4.49,1730623,42.00%,2719.00,642,1220,24,773,429,428,35,Canis familiaris,ABB0246,Species,Faecal
EHM030210,EHA01898_bin.3.fa,Individual,EHA01898,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Faecousia,s__,0.00,87.26,0.32,1725295,58.00%,10621.00,229,1716,48,1369,875,318,19,Canis familiaris,ABB0246,Genus,Faecal
EHM030864,EHA01877_bin.11.fa,Individual,EHA01877,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Faecousia,s__,0.00,57.55,1.75,1004279,58.00%,2935.00,361,729,16,591,351,128,18,Canis familiaris,ABB0246,Genus,Faecal
EHM031201,EHA01887_bin.28.fa,Individual,EHA01887,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Fournierella,s__Fournierella massiliensis,97.01,62.17,1.21,1486305,60.00%,4215.00,386,1397,45,1070,605,310,22,Canis familiaris,ABB0246,Species,Faecal
EHM031421,EHA01891_bin.1.fa,Individual,EHA01891,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Fournierella,s__Fournierella massiliensis,96.41,56.05,0.64,1629755,59.00%,3026.00,578,1176,33,859,454,308,26,Canis familiaris,ABB0246,Species,Faecal
EHM030208,EHA01898_bin.23.fa,Individual,EHA01898,2.3.0,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium_A,s__,94.42,53.61,5.73,2095207,28.00%,7475.00,372,2053,50,1335,741,687,33,Canis familiaris,ABB0246,Genus,Faecal
EHM030251,EHA01897_bin.23.fa,Individual,EHA01897,2.3.0,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium_A,s__,0.00,50.98,9.07,1483849,31.00%,14968.00,132,1439,57,1179,759,235,16,Canis familiaris,ABB0246,Genus,Faecal
EHM030373,EHA01896_bin.35.fa,Individual,EHA01896,2.3.0,d__Bacteria,p__Fusobacteriota,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium_A,s__,0.00,81.32,6.02,2383162,31.00%,29177.00,119,2207,58,1720,1121,457,21,Canis familiaris,ABB0246,Genus,Faecal
